,source,author,title,description,url,urlToImage,publishedAt,content
0,"{'id': 'wired', 'name': 'Wired'}",Gilad Edelman,The Analogy Between Covid-19 and Climate Change Is Eerily Precise,"First deny the problem, then say the solution is too expensive? The playbook here is all too familiar.",https://www.wired.com/story/the-analogy-between-covid-19-and-climate-change-is-eerily-precise/,"https://media.wired.com/photos/5e7ba5188283f9000a41518c/191:100/w_1280,c_limit/Ideas-COVID-Climat-1207216812.jpg",2020-03-25T18:59:54Z,"For a brief moment there, it looked as though the coronavirus pandemic might escape the muck of partisanship. 
Its true that Donald Trump, wary of a recession during a reelection year, had first tried to talk the virus into submission. His counterfactual ins… [+4389 chars]"
1,"{'id': 'the-verge', 'name': 'The Verge'}",Russell Brandom,"Relaxing isolation rules won’t help the economy, say economists","President Donald Trump has pushed to relax social distancing and shelter-in-place rules by Easter Sunday, April 12th, but economists say relaxing restrictions could make the economic damage even worse.",https://www.theverge.com/2020/3/25/21193670/trump-easter-coronavirus-isolation-relax-rules-economy-social-distancing,https://cdn.vox-cdn.com/thumbor/0Tupek3aPuU95Pc9H1cFIcxpoAk=/0x316:4416x2628/fit-in/1200x630/cdn.vox-cdn.com/uploads/chorus_asset/file/19831887/1213734411.jpg.jpg,2020-03-25T12:36:51Z,"President Trump is pushing to ease restrictions by Easter, but it would only make the pandemic worse
Photo by Spencer Platt/Getty Images
As the COVID-19 pandemic stretches into its second month and shows no signs of slowing, President Donald Trump has pushe… [+5345 chars]"
2,"{'id': 'techcrunch', 'name': 'TechCrunch'}",Natasha Lomas,TripActions reportedly lays off hundreds amid COVID-19 travel freeze,"The coronavirus demand crunch has taken another bite: Palo Alto-based corporate travel-focused unicorn, TripActions, reportedly laid off hundreds of staff yesterday. Per this post on Blind — written by someone with a verified TripActions email address — the c…",http://techcrunch.com/2020/03/25/tripactions-reportedly-lays-off-hundreds-amid-covid-19-travel-freeze/,https://techcrunch.com/wp-content/uploads/2020/01/GettyImages-1124943739.jpg?w=599,2020-03-25T11:10:36Z,"The coronavirus demand crunch has taken another bite: Palo Alto-based corporate travel-focused unicorn, TripActions, reportedly laid off hundreds of staff yesterday.
Per this post on Blind — written by someone with a verified TripActions email address — the … [+2533 chars]"
3,"{'id': None, 'name': 'Gizmodo.com'}","Brian Kahn and Dhruv Mehrotra on Earther, shared by Andrew Couts to Gizmodo",Coronavirus Has Slashed Global Air Pollution. This Interactive Map Shows How.,"The covid-19 pandemic has changed the world, grinding to a halt increasingly large geographic areas and portions of the economy in an effort to slow the virus’ spread. Read more...",https://earther.gizmodo.com/coronavirus-slashes-global-air-pollution-interactive-m-1842473790,"https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/rl7nofk1srwrrbcuf4ti.png",2020-03-25T12:53:00Z,"The covid-19 pandemic has changed the world, grinding to a halt increasingly large geographic areas and portions of the economy in an effort to slow the virus spread.
The impacts have been profound on the ground, but government-mandated lockdowns have also r… [+6988 chars]"
4,"{'id': None, 'name': 'Gizmodo.com'}",Tom McKay,Twitter Deletes Post by The Federalist Calling for Coronavirus Infection Program,Twitter has removed a tweet from the right-wing site the Federalist after it shared an article by an unlicensed dermatologist urging the public to be exposed to the novel coronavirus en masse and the social network temporarily locked the site’s account. Read …,https://gizmodo.com/twitter-deletes-post-by-the-federalist-calling-for-coro-1842496663,"https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/dldavotjvcornz36ijae.png",2020-03-25T23:15:00Z,"Twitter has removed a tweet from the right-wing site the Federalist after it shared an article by an unlicensed dermatologist urging the public to be exposed to the novel coronavirus en masse and the social network temporarily locked the sites account.
For t… [+5811 chars]"
5,"{'id': None, 'name': 'Gizmodo.com'}",Ed Cara,The Truth of Coronavirus Might Be Worse Than the Conspiracy Theories,"The covid-19 pandemic is a disorienting, fast-moving, dangerous crisis that has basically everyone in the world in its grips. As is so often the case in times of disaster, people, including political leaders, are promoting conspiracy theories about the origin…",https://gizmodo.com/the-truth-of-coronavirus-might-be-worse-than-the-conspi-1842492005,"https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/heuzkcj5g2en8eeor2tp.jpg",2020-03-25T22:25:00Z,"The covid-19 pandemic is a disorienting, fast-moving, dangerous crisis that has basically everyone in the world in its grips. As is so often the case in times of disaster, people, including political leaders, are promoting conspiracy theories about the origin… [+4864 chars]"
6,"{'id': None, 'name': 'Gizmodo.com'}","Yessenia Funes on Earther, shared by Brian Kahn to Gizmodo",'I’m Just Praying': Miners Fear the Impacts Covid-19 Could Have in Coal Country,"Jimmy Moore barely leaves the house. When he does, the 74-year-old is usually parked outside his local pharmacy in Dorton, Kentucky, until someone brings out his regular meds. As soon as Moore arrives home, he changes his clothes and washes his hands. Religio…",https://earther.gizmodo.com/i-m-just-praying-miners-fear-the-impacts-covid-19-coul-1842488514,"https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/k4u1gwbweociyppgfrty.jpg",2020-03-25T04:02:00Z,"Jimmy Moore barely leaves the house. When he does, the 74-year-old is usually parked outside his local pharmacy in Dorton, Kentucky, until someone brings out his regular meds. As soon as Moore arrives home, he changes his clothes and washes his hands. Religio… [+7361 chars]"
7,"{'id': 'mashable', 'name': 'Mashable'}",Sasha Lekach,"Coronavirus outbreak means gig workers from Uber, Lyft barely get paid","As ride requests shrivel up and shared rides are pulled from the Uber and Lyft apps, drivers are feeling the economic impact of COVID-19, the official term for the disease spreading in the new coronavirus outbreak. With most of the U.S. ordered to shelter in …",https://mashable.com/article/uber-lyft-coronavirus-employment/,https://mondrian.mashable.com/2020%252F03%252F25%252F30%252F3535bc37b29149748b2f32f30a7b9109.59cde.jpg%252F1200x630.jpg?signature=LFzHF6Po30PsA2absSeBNlXwDSU=,2020-03-25T15:57:23Z,"As ride requests shrivel up and shared rides are pulled from the Uber and Lyft apps, drivers are feeling the economic impact of COVID-19, the official term for the disease spreading in the new coronavirus outbreak. With most of the U.S. ordered to shelter in … [+4240 chars]"
8,"{'id': 'cnn', 'name': 'CNN'}",,Nurse's emotional plea: Don't sacrifice lives of elderly for the economy,Washington state nurse Karen Goheen's family was impacted by the coronavirus pandemic when both she and her parents tested positive for the virus.,https://www.cnn.com/videos/health/2020/03/25/washington-nurse-karen-goheen-coronavirus-parents-intv-cpt-vpx.cnn,https://cdn.cnn.com/cnnnext/dam/assets/200325000412-washington-nurse-cpt-intv-super-tease.jpg,2020-03-25T04:11:01Z,Chat with us in Facebook Messenger. Find out what's happening in the world as it unfolds.
9,"{'id': 'cnn', 'name': 'CNN'}",By CNN Business,US stock futures rise after Congress reaches stimulus bill deal,"The stock market's roller coaster week continues as investors continue to worry about the coronavirus outbreak. Here are the latest updates on the Dow, S&P 500, companies and more.",https://www.cnn.com/business/live-news/stock-market-news-today-032520/index.html,https://cdn.cnn.com/cnnnext/dam/assets/200323101800-nyse-0321-super-tease.jpg,2020-03-25T10:37:08Z,"US stock futures rose Wednesday as political leaders in the country reached a major deal overnight about a $2-trillion stimulus bill that will provide a jolt to America's coronavirus-striken economy. 
The full details have yet to be released. But over the la… [+586 chars]"
